"INCP Total Personal Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Total",
"Quakers Hill",787,1006,1006,1032,1081,1244,1673,1906,1456,1104,850,1107,288,14541,
"Bidwill - Hebersham - Emerton",538,1336,1619,1344,1089,1280,1212,984,513,325,147,102,66,10563,
"Glendenning - Dean Park",245,393,424,410,446,545,689,720,489,283,175,181,42,5049,
"Hassall Grove - Plumpton",688,1031,1047,936,1088,1406,1825,1784,1092,748,457,443,83,12635,
"Lethbridge Park - Tregear",507,1290,1578,1281,1128,1350,1445,1259,689,526,284,310,122,11763,
"Mount Druitt - Whalan",735,1656,1777,1435,1271,1515,1632,1388,721,491,276,248,63,13209,
"Prospect Reservoir",0,0,0,5,0,4,8,0,0,0,3,0,0,19,
"Rooty Hill - Minchinbury",705,1023,1345,1311,1120,1448,1745,1820,1120,793,494,484,97,13506,
"Banksmeadow",0,0,0,4,0,0,3,4,0,0,0,0,3,20,
"Botany",258,376,510,517,503,578,720,813,687,593,457,676,283,6968,
"Mascot - Eastlakes",656,1236,1599,1557,1425,1534,1760,1888,1314,1039,779,1152,474,16415,
"Pagewood - Hillsdale - Daceyville",314,648,862,768,608,682,837,806,547,411,267,420,233,7401,
"Port Botany Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"Sydney Airport",0,0,3,4,0,0,0,5,5,4,0,3,9,26,
