"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"Holsworthy - Wattle Grove",3228,3026,2909,3287,3214,2471,1330,715,413,108,0,20706,
"Liverpool",4152,3001,4371,4715,3425,3016,2263,1421,683,118,0,27172,
"Lurnea - Cartwright",1926,1639,1638,1510,1434,1435,987,755,332,25,0,11686,
"Prestons - Edmondson Park",2982,3035,2194,2679,2821,2016,1059,484,244,70,0,17580,
"Warwick Farm",792,549,1023,1165,670,695,465,285,132,16,0,5798,
"Gymea - Grays Point",2274,2328,1876,2038,2759,2395,1779,1257,672,101,0,17479,
"Miranda - Yowie Bay",2284,2069,2091,2425,2540,2263,1759,1389,1109,295,6,18230,
"Sylvania - Taren Point",1844,1815,1505,1742,2162,1977,1761,1629,1166,334,0,15940,
"Caringbah",1619,1097,1567,1972,1665,1372,1079,748,511,135,0,11764,
"Caringbah South",1623,1654,1195,1202,1702,1666,1454,879,605,81,0,12058,
"Cronulla - Kurnell - Bundeena",2347,2092,3515,3706,3062,3335,2871,1545,835,185,0,23487,
"Lilli Pilli - Port Hacking - Dolans Bay",363,529,322,252,467,513,367,209,116,13,0,3149,
"Woolaware - Burraneer",971,1111,863,797,1150,1138,885,472,292,61,0,7728,
"Heathcote - Waterfall",862,820,687,692,922,824,712,505,356,125,5,6504,
"Illawong - Alfords Point",1063,1384,1497,978,1248,1907,1487,514,237,51,0,10366,
"Menai - Lucas Heights - Woronora",2615,3159,2701,2254,3009,3368,2450,1022,429,118,3,21128,
"Oyster Bay - Como - Jannali",3212,2749,1962,2580,3449,2775,2328,1378,658,161,0,21254,
"Royal National Park",9,3,10,5,6,0,0,0,0,0,0,24,
"Sutherland - Kirrawee",2664,2072,2765,3489,2870,2412,1912,1413,939,337,4,20874,
"Engadine",2731,2265,1532,2437,2532,1832,1743,1345,471,97,7,16992,
"Loftus - Yarrawarrah",1029,957,783,834,1087,914,855,556,197,23,0,7247,
"Woronora Heights",387,634,494,277,597,665,432,131,27,3,0,3646,
"Total",579304,528997,686825,711823,619733,543440,415627,247892,130254,31892,471,4496255,
